	text1	text2	sarcastic
281	Mental shoot out ends. Silent pause. Sirens start 🚨 Always so perfectly timed 🚔🚓👍🏽 #LineOfDuty #LineofDuty6 #LOD6 #LOD	The sirens always start just as the gunfire finishes 	0
259	What kind of sins have y’all been committing for God to punish us with this kinda weather...	God are you punishing us by creating such bad weather?	0
482	I need a valid excuse to call-out today. 	Anyone need a body for a human sacrifice? Trying to find a valid excuse to not go to work today.	1
804	I am stressed.	mentally I’m hiding in the walk-in	1
746	Happy on the outside but underneath the smile I am sad	I may look happy on the outside bit on the inside I'm dying #painful #sad	1
797	We should have spent the money we wasted killing and bombing people in Afghanistan (only to lose the war) on social programs here at home instead. 	"Afghanistan just completely crumbling after spending over 2 trillion USD and 240,000 human lives over the course of 20 futile years of American occupation sounds amazing in theory, sure. 
But how are we gonna pay for it? What’s next, chocolate milk for everybody?"	1
703	Stranger Things is pretty good but season 1 is better than season 2	Yeah I’m following a lot of shows right now, the price is right is pretty good but season 1 is better than season 2	1
477	“I’m going to rewatch panic on amazon”	don’t make me rewatch panic 🤨	1
814	I don't like when Tex-Mex restaurants stop serving breakfast tacos after 10:30/11 am.	tex-mex restaurants that stop serving breakfast tacos after 10:30/11 am are the reason i have trust issues	1
275	Headaches that last all day nonstop🥰😍	I hate headaches and I have one.	0
445	I do not enjoy paper straws	Every time I see an establishment with paper straws I turn a little bit Republican	1
451	I hope my school of social work party is fun and not boring. 	I'm hoping my social work class party is going to involve tequila and chip and salsa 💃🍹🎉👨	1
864	The red cross is always needy. 	I get a lot of boy who cried wolf vibes from the Red Cross and their emergency blood shortages all the time	1
398	the audacity of the neighbors to mow the lawn while i'm trying to sleep, at 6:30pm	My neighbors mowed the lawn and woke me up	0
450	joey essex is not a genius and i am glad i am clever	Joey the genius! I wish i was as brainy as him #towie	1
420	So, a country that is trillions in debt, with numbers approaching 13 million on surgical waiting lists and hurtling towards facism regime, is talking about rescuing people from a facist regime?	"This country is not a ""free"" country anymore."	0
631	We were taught the incorrect subjects in our science lessons.	"me: revises cells + other general biology stuff
edexcel: ""i want a fit summer bod, get them to tell me how i get one""
#EdexcelBiology #Gcses2018"	1
843	The healthcare system in the U.S is so frustrating. I spend so much money on health insurance only to end up paying just as much out of pocket when my insurance doesn’t cover the services.	I love health insurance so much fun paying $100’s a month and then $100’s for basic medical services that somehow aren’t covered. #America	1
39	Vaccinated this morning. Not sure it's worked - still committed to Apple and no extra autism detected. Bloody science.	Vaccinated this morning. The vaccine did not contain a Microsoft chip, nor did it make me more autistic than I already am.	0
139	Kind of rude of my stomach to still make whale noises after I’ve given it a whole protein bar	I wish that my stomach could stop making whale noises after feeding it a protein bar	0
311	@stockwa16053563 @PeterGWall @michael_saylor Michael Saylor is efficient in his line of questioning. Feels like more an interrogation 😂⭕️	His questions are too basic the interview it not worth watching.	0
862	Claires, you should not do full hysterectomies. 	yo @claires do yall do hysterectomies?	1
110	thinking about quitting the path im on to become a college advisor so i can be wrong and do nothing for the rest of my life	College advisors are not nearly as helpful as they should be, in fact they are often the opposite.	0
409	Thank you to @OrchardMead for organising pizza and ice cream! It was a lovely end of year gesture 😁💕 Happy holidays everyone - time to collect our time owed in lieu! 😅 #summerholidays https://t.co/324jzGSElj	I am going to enjoy my holiday as I have worked lots of additional hours this year and I am owed the time the off.	0
30	It’s been a blissful 2.5 hours of sleep tonight	I only got 2.5 hours of sleep last night and it wasn’t enough	0
332	“tit for tat, butter for fat, you kill my dog, i eat your cat” is a liberian proverb for “an eye for an eye”. my ancestors were spittin’	My ancestors spoke about a lot of true things	0
211	Don’t worry, 20 something people who follow me here, I brushed my hair for the first time in a week today. I know, impressive.	I brushed my hair today, how easy. 	0
464	When I procrastinate I tend to blame tbe teachers for not giving enough time although it is entirely my fault 	my hobbies include leaving projects for the night before and then complaining that the teacher didn't give us enough time 🙃🙃	1
357	No joke, air-fried Twisted Teas are THE BEST.	Twisted Teas are the best.	0
209	if you display your pop funkos in the box then you’re a tory	I don’t like when people display pop funkos in their boxes	0
716	"""A terrible mashup is hearing country music & Eminem through someone's phone speaker. """	A fun musical mashup is the country music playing at the gym with the one guy playing old Eminem on his phone at full volume in the locker room shower 🎶🎶🎶	1
499	Theyre embarrassed of their uniforms so theyre playing badly 	It was the jerseys	1
764	this was the most embarrassing moment of my life.	If anyone wants to know how my nights going I tried making a private story on Snapchat and instead made a group chat... I hate my life	1
299	Is this first Cybex isokinetic dynamometer? @DrAndrewBateman #PRS2021	That’s an interesting machine. Is it very old?	0
96	"How I flirt with boys 

Boy: “Hey I saw you from across the room and had to come over”

Me: “Wow you’re super observant. Do you have 20/20 vision?”"	I could have said thanks for coming over 	0
192	How bout you dont use a gazillion filters on your pictures	You edit your pictures so much it doesn’t look like you	0
552	I don't approve of my taxes paying for cops to ride segways.	Just saw a cop riding a segway?!! So glad my taxes paid for that.	1
355	@traves whoa! that's a little too crazy man, slow down	"I guess I would tell the truth and say something like ""that is moderately crazy but not that crazy""."	0
636	I refuse to wear heels ever again because they hurt too much.	No longer a female as I refuse to wear heels ever again	1
575	being an adult is really hard 	I unsubscribe from being an adult, its not for me	1
265	WHO LET THE LAUNDRY PILE UP 5 BASKETS. Goodness.	Why did I let the laundry pile up 5 baskets?	0
618	a presentation on health economics is no fun at all	Using my recently acquired video editing skills on myself for a change. An oral #presentation assignment on #healtheconomics is as much fun as it sounds 🗣🎥 https://t.co/1LKHVyupie	1
652	virgos act like leos	virgos are leos in a vest	1
852	That solos was awful	wait what the fuck that solo yolo is mad?	1
695	I really hate it when my mum makes me give her my savings so she can buy beer.	I do love it when my mum makes me spend my savings on beer 😒	1
587	After many years it is brilliant to laugh at germany 	Schadenfreude x	1
344	Just signed up for Apple's Ping, told it I like 'classical' and it points me towards Lady Gaga. It takes a certain genius to be this crap.	Just signed up for Apple's Ping, told it I like 'classical' and it points me towards Lady Gaga. This is really very crap.	0
352	my favorite thing about my grandparents is that they're so afraid to talk about me being gay that our catch up phone calls are incredibly short 💘	"I would say ""It's quite upsetting that phone calls with my grandparents are so brief because they avoid topics pertaining to my partner and personal life"""	0
772	Wearing a jumpsuit is so annoying especially when you have to use the bathroom. 	wearing a cute jumpsuit is all fun and games until you have to go to the bathroom	1
327	Sitting next to the world's loudest mouth-breather on the first day of class did a really good job of demystifying grad school for me today	I was very annoyed today in my first class of the year because I sat next to someone who had very loud breaths.	0
751	"""I really don't like that I am still getting as frustrated over websites crashing when I'm buying tickets as I did when I was younger"""	i’m sure 14 year old me would be delighted to know that 22 year old me is still getting stressed over websites crashing for bands🙃	1
781	Your refund policy wasn’t very helpful at all.	"@Showmasters are basically thieves, quoting it’s in the small print so you can’t have a refund.
Dates moved from summer, to a 4 hour slot on a Friday evening in November which is about as much use as a telescopic sight on a knife.#WeWantARefund @UKConsumerRight"	1
473	My days are spent doing nothing.	I spend the day sitting or napping, I ration my food like a psychopath, and I take one walk a day. I am my dog. #Covid_19 #CoronaVirusUpdate	1
338	Replace Pelosi #Nancy	He should not have been elected president and donald trump won the presidency.	0
120	Day 3. Luggage arrived, thanks @AirFranceFR. Non random Hungarian underwear. Talk delivered. Science sated. #metaxa http://t.co/6KPjLezQOF	After three days of incompetence from Air France my luggage has finally arrived. No thanks to Air France.	0
63	What a Race ! #sarcastic #WTF1 https://t.co/zRtL5alnoT	this was a boring race.	0
660	I will not be voting for Vermin Supreme this upcoming presidential election 	imma still vote for vermin supreme this presidential election 😤	1
783	I haven't been able to sleep all night	Sleep? What’s that... I’ve never heard of it?	1
578	Ed Sheeran isn't at Tramlines and I'm glad about it	Can’t wait to see Ed sheeran at tramlines tomoz x	1
65	my neighbors taunting me outside my office window by chilling in their hot tub every remotely warm day whilst I sit here on back-to-back zooms all day every day. the audacity is astonishing.	Very jealous of my neighbors sitting in their hot tub today whilst I am on back to back zoom meetings.	0
500	"""Adam Levine sure was checking out Shakira's ass last night"""	"Sooo... @adamlevine was that ""Nice!"" and double fist pump for the show or @shakira s ass that you were checking out? @NBCTheVoice"	1
168	5:30 banshee-like kitten zoomies are definitely my all-time favorite alarm clock, and the sound of jewelry boxes flipping over and burnouts on the wood floor make for the calmest, most enjoyable start to any workday.	"""I can't stand when the kittens have so much energy at the crack of dawn that I get woken up by a loud, noisy mess they've made"""	0
383	Horse dancing is my new favorite Olympic sport, I have no clue what’s happening, but this is incredible	Horse dancing is a weird Olympic sport and probably shouldn't be a sport in general. 	0
78	if you see me crying in the self-service car wash in my rosati’s uniform, no you didn’t ❤️	No.	0
136	I recovered a repressed memory today of working at @kumandgo in high school 13 years ago &amp; having to answer the phone as “we go all out at Kum &amp; Go, this is Shelby. How can I help you?” And the prank calls that led to. Pretty sure K&amp;G owe me therapy.	I don't think K&G owes me therapy.	0
557	If I weren’t insomniac I’d be pleased to have an extra hour.	I'm so glad the clocks just went back, I have this whole extra hour of insomnia to play with.	1
547	No.	@trpalomo Those boots must be tasty for how much they're choking on 'em 💀	1
633	we had to tell her it was a bad idea to put a spoon in the microwave 	Hailey convinced Tayler that putting a spoon in the microwave to scoop ice cream faster was a good idea	1
260	I’m really looking forward to not hugging my friends and family through choice rather than by law.	I would like to continue social distancing and not hugging people ever 	0
784	I'm really struggling during this pandemic and have decided to shave my undercut back in because I'm not doing well mentally.	"Me: You know, for someone with chronic anxiety I think I'm dealing with this pandemic quite well.

Also me: Wow, I forgot how good a freshly shaved undercut feels!"	1
588	I wouldn't because sarcasm is the only weapon I have against this stuff	Being a mom with an autoimmune disease means I am a grown ass woman that caught hand, foot, and mouth from my daughter. My Hashimotos sucks. Thanks for all the sicknesses I so graciously suffer and should not be suffering at 40.	1
856	Oh no, I have to listen to a cement mixer all day. This sucks. 	Ahhh I get to listen to a cement mixer all day. Awesome.	1
531	I'm not doing great mentally right now.	flew into a rage this morning bc i couldnt find my karaoke mic so yeah i would say things are going well for me	1
754	I only have a measly 2 days off work.	6 more hours and then a whoppingly massive 2days off work! wowzers!	1
762	I started the year completely dependent on someone else and ended it entirely dependent on myself for the first time in my life	safe to say my life is a lot better https://t.co/pE5isUMOpk https://t.co/K2hep49TcF	1
49	@ZionWarrior6 I think lunch was ready at the care home, then it was time for nap and then Countdown.	He's too old?	0
137	Accidentally made a friend in ASL today. I hate when that happens.	"I would say ""Made a friend in ASL today. I love when that happens."""	0
198	Here comes the final of the UK #DailyBriefing - who will win, Johnson or Covid?	How will the UK government be changing the Coronavirus restrictions in tonight's briefing?	0
635	My family read my quarantine journal, I didn't get committed. 	came home to realize my family found and read my quarantine journal lmao lucky I didn’t get involuntarily committed wtf	1
231	is it illegal to discriminate against someone on the basis that they have a joker tattoo	This guy has a joker tattoo and that's off-putting to me.	0
676	Hahah life isn't going my way.	Lol at my life :)	1
861	My family has asked me to make a Mother's Day brunch for everyone at my house and it's stressful.	So nice of my family to decide that I’m hosting a Mother’s Day brunch for everyone at my house. https://t.co/DWZI9ltALK	1
551	Haye as a competitive fight against fury which is a 50-50 fight and could go either way	@SkySportsBoxing if i think you would have a chance against fury i mean its easy for some broken bodied old boy to beat the best in the world	1
381	Lovely day to be stuck at the mall with a dead battery.	It's no fun to be stuck at the mall with a dead battery.	0
33	love it when Jonny makes me use earphones to watch something on my phone so he can play fifa	Can’t believe Jonny is making me use headphones to watch something so he can play fifa 	0
31	Falling asleep at your laptop is always fun	I hate falling asleep at my laptop 	0
518	"""I really will need an umbrella in Oregon."""	@sdeditgirl You should know a true Oregonian doesn't use umbrellas!	1
665	eurovision belongs to everyone! 	so many people pressed that italy won sorry eurovision belongs to the bisexuals now x #Eurovision	1
416	Cheers @ASOS delivery lady for dropping my parcel off covered in coffee 😒👌🏼 https://t.co/UzY4gJS9DE	Not pleased the delivery lady spilt coffee on my parcel 	0
314	I miss walking up 3 flights of stairs for class and having to catch my breath in the bathroom 😩	I hate walking up 3 flights of stairs and catching my breath in the bathroom.	0
680	A diet of pain killers is not healthy or balanced 	Have the most balanced diet, a healthy balance of codeine, panadol and ibuprofen....	1
487	I have managed to transfer PT to my PS4	My PS4 Pro has P.T on it, which is somewhat funny as it was taken down before the PS4 Pro was even released #konami #PT #SilentHills #Spooky #PlayableTeaser #Kojima	1
626	I would write “Just almost got hit on the highway by a @CityOfSanDiego truck! Wish we had gotten his plate number to report his dangerous driving.”	Just almost got hit on the highway by a @CityofSanDiego truck 🤪 tysm for making me feel safe guys!!!	1
109	I love it when drunk, inconsiderate flatmates come back and start climbing on the roof #istillhaveexams #tryingtosleep	It’s awful that my flat mates have come back drunk and are on the roof when I have an exam tomorrow 	0
77	okay but like the say so song ain’t that bad. I’m unironically jam to it lmao	The say so song was good after the first 5 listens but after that it got annoying	0
305	@DanielIngolfur @The_Timbrodini @ViQueen55 @tedcruz I know, right? He even wanted poor people to be healthy, because he was basically a fucking communist. What a hippie.	Jesus wanted everyone to be cared for, because he was all about loving and caring for your fellow man.	0
82	i love ingesting poison and then wondering why my tummy is rumbling the next morning	Every time I drink I wake up with an upset stomach	0
296	first day of work, and i’ve already cried on the job 👍	i would say the same thing and use a sad emoji like 😭,😢, or 😥	0
798	We should definitely not call erections social dickstanding but wouldn't it be funny if we did.	Petition to call erections social dickstanding	1
196	@raerenyse Easily one of the worst and most damaging takes for both trans AND cis women I have seen thus far. Congrats on reaching new levels of awful lmao	Easily one of the worst and most damaging takes for both trans AND cis women I have seen thus far. You have surprised me by reaching new depths of depravity via tweeting this.	0
684	hit me up to play im an octane main	@DarrkIt @iamspade_ ya need a carry hit me up im a octane main	1
316	Hot dog eating contest as a form of assisted suicide	You shouldn't have a hot dog eating contest as a form of assisted suicide.	0
501	Only joking. Keep it real. HR professionals don’t have a life. 	@MarkHendyHR Only joking... keep it real. HR professionals have a life too... 🤔	1
5	"@jimrossignol I choose to interpret it as ""XD"": the universal emoticon for laughing at those poor, poor folks in Ubisoft's marketing department who have to deal with that branding until the servers quietly shut down 8 months after launch."	It's a terrible name and the product sounds awful.	0
54	@ThePartridgePod Defrost the freezer with the cast of Hollyoaks. Any of them that wanted an extra fun trip could pop to the recycling centre with some empty pesto jars. Magic.	I would actually answer the question - 'Who would you want to spend a bank holiday with?' with an answer that I meant. I would be worried that people would mock me if I was honest though - I don't care when the tweet is clearly a joke.	0
431	"I can't wait to name my children after things I will never have. 
My daughter will be Hope. 
My son will be PS5 because that shit is expensive."	In this tweet I would probably say. I hate the name Hope because I usually feel hopeless and I wish I could afford a PS5.	0
298	"Damn, imagine being vaxxed and then getting a cold and then losing your taste and smell.

Oh wait."	"To make it non-sarcastic I could have said, ""I hate having a cold and then losing my taste and smell."""	0
569	"""Biden is a liberal, not a leftist. Liberals are center-right. People who voted for Biden came from everywhere on the political spectrum, including conservatives and independents, so stop trying the blame some imaginary 'hate-filled left.'"""	"@JoeTalkShow @EdwardNorton Get ratioed, then tell us more about the ""hate-filled left,"" especially about how the Republicans and independents who voted for Biden are somehow part of that group 🤣"	1
97	Been trying to get my boyfriends attention. Let’s see how long it takes for him to see this tweet tho.	Sitting next to my boyfriend but he'll notice me on twitter first.	0
558	I want map filters on COD	Please consider map filters on online mutliplayer. Pretty pls, thanks @CallofDutyUK	1
829	The conversations I have with you are as boring as talking to a wall, which you can't even do. 	i’ve had more interesting conversations w my wall but alright	1
512	I would say Embiid wasn't good enough to win MVP	Lucky for @JoelEmbiid , only MVPs get tossed for those kinds of fouls #76ers #ATLvsPHI #hawks #NBAPlayoffs	1
710	"Men love making women think they were the problem when they finally decide to leave after putting up with mistreatment for god knows how long 

“You were supposed to be my ride or die 😩”

Does that mean that you die now?"	"Men love making women think they were the problem when they finally decide to leave after putting up with mistreatment for god knows how long 

“You were supposed to be my ride or die 😩”

Okay, so die then."	1
25	teams is down what a shame I can’t do my assignments 👉🏽👈🏽	Teams is down so I’m happy I can’t do my assignments because of this	0
84	@FeeyaCruz Ahahahaha the Feeya I know and love, miss u 😢	‘Oh Feeya, you haven’t changed’’ 	0
10	ANY PENSIONER AND 4 YEAR OLD WHO DARE TAKE ME ON AT DINOSAUR THEMED CRAZY GOLF WILL BE CRUSHED, CRUSHED I TELL YOU. https://t.co/yZlafy0lsd	Had a great time playing crazy golf with the family, and I won!	0
770	I wouldn't even say I will call the authorities, or I would be more specific and say police. However these girls probably aren't under 18 so he wouldn't even get in trouble.	Why is this 30 yr old man trying to flirt w/ me at this wedding and talking about getting away with dating younger girls. Sir I will call the authorities	1
360	@Mythical So worried about him. But if you're looking to save him, based on the topography I'd say it's somewhere on the east coast. Perhaps the Carolinas?	I suppose I would have simply stated that we all know he is not kidnapped, but it seems like he's just in the woods in North Carolina. 	0
630	I notice that certain men who drive Ford F150s tend to drive aggressively/poorly	do you think when a middle aged white man goes to buy a big lifted brand new F150 they check to make sure his penis is incredibly small?? or do they just take his word for it	1
365	Perfect way to end a 2+ hour @SunCountryAir deley: getting stuck on the tarmack at @mspairport waiting to go to a gate for almost an hour 🙄	"I am super unhappy that after a 2+ hour @SunCountryAir deley I have been stuck on the tarmack at 
@mspairport waiting to go to a gate for almost an hour."	0
118	Can't wait until I live to be 110 years old and I have people asking me how I've lived for such a long time so that I can make up some hyper-specific secret to longevity that people will inevitably follow	Although I do not want to live to be 110 years old, I love reading about people's hyper-specific secrets to longevity that other people will inevitably follow	0
266	Boehner not clapping for gender pay equality. COOL.	Boehner sucks for not clapping for gender pay equality.	0
291	Thanks @Tesco for not informing me that my click and collect order had been cancelled when my account says it's ready to collect my partner has had to travel unnecessarily to Stafford and we still don't have our shopping, good diet I guess having to wait for my 26th delivery slot https://t.co/xq9oXEkw8o	Tesco have cancelled my order with no warning. please could i have an explanation and compensation for this.  	0
29	just wondering how to get my diss down by 1500 words .. such fun	getting my diss down by 1500 words is not fun.	0
227	the fact that “breaking: school shootings preventable” was an actual headline on nbc tonight is actually laughable	"the fact that ""breaking:school shootings preventable"" was an actual headline tonight is a sad commentary on our country"	0
388	every time i send my mom pictures of me and one of my friends doing fun things the first question she asks is if we're on a date what are you trying to tell me mother	my mom thinks i'm dating every one of my friends whenever i send her pictures because she thinks i'm lonely. 	0
440	I would say the same thing as I tweeted, but it would actually be relevant to the girl I am replying to.	@cassieecote413 you can copy mine	1
603	The president seems to believe that merely removing leaves from forest floors would prevent forest fires.	IF ONLY PEOPLE WOULD RAKE THE FORESTS. #Debate2020	1
342	Bart is closed rn in Oakland so I can’t go to work, I’m so upset....	I’m so happy I can’t go to work 	0
81	love living in a capitalist society where i look forward to getting a surgery where i’m legit GETTING AN INTERNAL BODY PART REMOVED bc it means i’ll get a few days off from work xoxo	I hate that in order to get time off of work, I have to do something drastic like getting surgery	0
323	Turnover is the best band to cry to/drive to/daydream to/fall asleep to/ reminisce to/die to	I would say, turnover is the best band to do anything to. The music just encapsulates so many feelings all at once!	0
750	It's going to be pretty cold in South Parks today!	Feels like 10 degrees!! Wow catch me in South Parks soaking up the rays 😎 https://t.co/EpgwTLgICW	1
542	just met this man i have been following for two years. please text me so i can scream about this forever.	just met the love of my life don't text	1
247	Quarantine Day 256: Dear Ancient Greeks, re: the blanket-wearing—I get it. #QuarantineLife	"""Honestly, the value of comfortable clothing cannot be understated."""	0
760	I am mentally unwell and struggling	hey guys! i’m so happy to announce that i’m officially brain dead ☺️	1
331	"Can’t wait to get home take a big ass antihistamine and roll in some topical steroids.

Damn it, skin! What did I ever do to you?!?!"	My allergies are really acting up and I need to take some antihistamines and use ointment.	0
677	Don't criticise me when your ADULT son can't ride a bike without falling off OR use a knife!	I love it when someone criticses my parenting then their adult son cuts his finger off with a knife and breaks his leg by falling off a bike	1
521	It’s funny how my mom used to wake me now I wake her.	I love calling my mom early in the morning and waking her up, I take it as pay back for all the times she never let me sleep in 😜	1
741	"I could have said ""I am an idiot"" or something along those lines instead. "	Throwback to when I answered the phone at work with “thank you for calling Courtney! My name is principal” wow I love myself	1
363	the manliest thing I can think of is when the men from the World Cup passionately sing their national anthem	""" I think it's really manly when men sing their national anthem"""	0
693	I would say that shoobies are clueless and don't know how to properly spend time at the beach. 	these two girls are on the beach in lawn chairs, i love shoobies	1
367	it's too bad i forgot how to play my clarinet so close to my recital	I'm so nervous I hope I'll forget how to play to avoid being onstage.	0
467	Twitter is showing that some people I follow are liking porn and I need to unfollow them to stop seeing that	So my Twitter feed has to show me what tweets people I follow like. ...😐 If I unfollowed you, just know I'm tired of seeing porn	1
439	I've already been waiting 15 minutes for the bus and now I've spilled rum all over my bag.	You know what makes a 15 minute wait for the bus even better, rum leaking all over the contents of your bag 🙈😫	1
393	Imagine not liking football 🤣	I don't understand why people don't like football, it's a great game. 	0
210	#HappyBirthdayKeanuReeves Keanu Reeves is so wholesome ☺️	Keanu Reeves is a pretty great guy.	0
800	We decided to record on the evening of the 6th, which was unfortunate because at the same time some significant events were happening that we probably would have talked about.	Ok, so @bytereview and I decided to record on the evening of the 6th, just as absolutely nothing newsworthy was happening! Perfect timing as always, to go over some of the best ITSBUPs of 2020 - and how we're settling into 2021! Listen: https://t.co/oaPLwrtcHP https://t.co/za3EHuqcWh	1
717	 According to past history with Trump Republicans, you must fact-check everything.   There is no credibility in the Republican party since Trump was in office.	@kittin_knittin According to a Trump republican,  that's relative to Penis size.  There's a video.  Lol	1
7	someone hit me w a horse tranquilizer istg ive been in a pool of sweat for 6 hours and i havent slept im so tired but i love my friend so much and oh my fucking god i cant rn	Simply “I’m miserable.”	0
713	The amount of time spent listening to and comprehending what this gal says is disturbing and disappointing.	@TheBabylonBee And the hot air and BS she generates makes for a perfect backup energy source!	1
155	cold queso is so much better than warm queso https://t.co/5TaMe4aSO6	Cold queso is gross and warm queso is so much better.	0
326	everytime i swipe through bumble when i’m bored i just get sad that no one has the same complex interests as me….rude 😤🙄 /j	Everytime i swipe through bumble when i’m bored i just get sad that no one has the same complex interests as me.	0
101	cold ears? take out one AirPod, leave it by the stove, and forget about it for 20 minutes 🤗	I left my Airpods out by the fire and now my ears are warm.	0
375	It's soooo great that I've taken pain medication and my back is still hurting 😩😩😩😩😩😩	I took pain medicine for my back, but it still hurts. 	0
667	Staying up late was not worth it.	So staying up late was worth it..... 😪😩	1
457	Rapists ruin their own lives, not the victims testifying. 	you know what’s a novel concept? rapists and sexual assaulters not only ruin the lives of their victims but also THEIR OWN LIVES. yeah. not the victims testifying. maybe if you didn’t want rape accusations then DON’T RAPE. also a novel concept.	1
595	I do not enjoy the main character of this book.	2 minutes into the book and I already hate the main character. Lovely	1
294	@BorisJohnson @MattHancock Oh really?	Investment has been lacking for years, why should the public believe you now? 	0
